trial_id,scenario,method,blocked,block_reasons,remote_mutations,stale_mutation,duplicate_mutation,unsafe_mutation,correct_outcome
39,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
39,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
39,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
39,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
40,draft_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
40,draft_drift,A1_source_hash_conditional,0,,1,1,0,1,0
40,draft_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
40,draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch,0,0,0,0,1
41,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
41,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
41,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
41,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
42,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
42,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
42,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
42,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
43,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
43,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
43,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
43,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
44,draft_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
44,draft_drift,A1_source_hash_conditional,0,,1,1,0,1,0
44,draft_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
44,draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch,0,0,0,0,1
45,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
45,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
45,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
45,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
46,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
46,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
46,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
46,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
47,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
47,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
47,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
47,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
48,concurrent_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
48,concurrent_retry,A1_source_hash_conditional,0,,2,0,1,1,0
48,concurrent_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
48,concurrent_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
49,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
49,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
49,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
49,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
50,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
50,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
50,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
50,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
51,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
51,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
51,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
51,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
52,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
52,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
52,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
52,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
53,draft_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
53,draft_drift,A1_source_hash_conditional,0,,1,1,0,1,0
53,draft_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
53,draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch,0,0,0,0,1
54,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
54,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
54,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
54,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
55,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
55,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
55,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
55,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
56,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
56,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
56,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
56,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
57,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
57,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
57,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
57,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
58,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
58,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
58,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
58,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
59,combined_source_and_draft_drift,A0_ordinary_approval_log,0,,2,1,1,1,0
59,combined_source_and_draft_drift,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
59,combined_source_and_draft_drift,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
59,combined_source_and_draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch|approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
60,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
60,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
