attempt_time,kappa,normalized_lag
4.557,1.1563,0.005147
4.8608,0.05,0.784242
4.8608,0.1082,0.590923
4.8608,0.1665,0.445258
4.8608,0.2247,0.3355
4.8608,0.2829,0.252798
4.8608,0.3411,0.190482
4.8608,0.3994,0.143528
4.8608,0.4576,0.108148
4.8608,0.5158,0.081489
4.8608,0.5741,0.061401
4.8608,0.6323,0.046266
4.8608,0.6905,0.034861
4.8608,0.7487,0.026268
4.8608,0.807,0.019793
4.8608,0.8652,0.014914
4.8608,0.9234,0.011237
4.8608,0.9816,0.008467
4.8608,1.0399,0.00638
4.8608,1.0981,0.004807
4.8608,1.1563,0.003622
5.1646,0.05,0.772419
5.1646,0.1082,0.57181
5.1646,0.1665,0.423302
5.1646,0.2247,0.313364
5.1646,0.2829,0.231978
5.1646,0.3411,0.17173
5.1646,0.3994,0.127129
5.1646,0.4576,0.094111
5.1646,0.5158,0.069669
5.1646,0.5741,0.051575
5.1646,0.6323,0.03818
5.1646,0.6905,0.028264
5.1646,0.7487,0.020924
5.1646,0.807,0.015489
5.1646,0.8652,0.011467
5.1646,0.9234,0.008488
5.1646,0.9816,0.006284
5.1646,1.0399,0.004652
5.1646,1.0981,0.003444
5.1646,1.1563,0.002549
5.4684,0.05,0.760775
5.4684,0.1082,0.553315
5.4684,0.1665,0.402428
5.4684,0.2247,0.292688
5.4684,0.2829,0.212873
5.4684,0.3411,0.154823
5.4684,0.3994,0.112604
5.4684,0.4576,0.081897
5.4684,0.5158,0.059564
5.4684,0.5741,0.043321
5.4684,0.6323,0.031508
5.4684,0.6905,0.022916
5.4684,0.7487,0.016667
5.4684,0.807,0.012122
5.4684,0.8652,0.008816
5.4684,0.9234,0.006412
5.4684,0.9816,0.004664
5.4684,1.0399,0.003392
5.4684,1.0981,0.002467
5.4684,1.1563,0.001794
5.7722,0.05,0.749306
5.7722,0.1082,0.535418
5.7722,0.1665,0.382584
5.7722,0.2247,0.273376
5.7722,0.2829,0.195341
5.7722,0.3411,0.139581
5.7722,0.3994,0.099738
5.7722,0.4576,0.071268
5.7722,0.5158,0.050925
5.7722,0.5741,0.036388
5.7722,0.6323,0.026001
5.7722,0.6905,0.018579
5.7722,0.7487,0.013276
5.7722,0.807,0.009486
5.7722,0.8652,0.006778
5.7722,0.9234,0.004844
5.7722,0.9816,0.003461
5.7722,1.0399,0.002473
5.7722,1.0981,0.001767
5.7722,1.1563,0.001263
